"","iso_ter","country","total_area","protected_area","percent_protected","pc_gdp_2016","ecosystem"
"1","ABW","Aruba","3.54881962864481","0",0,27619.362,"coldwater_coral"
"2","AGO","Angola","3.39567053773998","0",0,3936.361,"coldwater_coral"
"3","ALB","Albania","5.98647948252716","0",0,4173.486,"coldwater_coral"
"4","ARG","Argentina","61.8263440651753","6.98422602063557",11.2965211290401,12772.868,"coldwater_coral"
"5","ATG","Antigua and Barbuda","0.997746538545076","0",0,16163.761,"coldwater_coral"
"6","AUS","Australia","333.428727950404","122.413497377955",36.7135423904335,51779.836,"coldwater_coral"
"7","BEN","Benin","0.997746527205306","0",0,1049.531,"coldwater_coral"
"8","BLZ","Belize","2.99323973953098","1.99549312134955",66.6666653858546,6152.457,"coldwater_coral"
"9","BRA","Brazil","233.165254915499","1.99549316229226",0.855827838935714,8812.503,"coldwater_coral"
"10","BRB","Barbados","6.37970478883903","0",0,18704.689,"coldwater_coral"
"11","CAN","Canada","204.280433116829","22.9600988252007",11.239499777284,42382.499,"coldwater_coral"
"12","CHL","Chile","86.8581116896839","46.2352596925966",53.2307907611213,13722.878,"coldwater_coral"
"13","COL","Colombia","56.1477557221478","10.89431447625",19.4029384365094,6037.133,"coldwater_coral"
"14","CPV","Cabo Verde","34.3151290222723","0",0,3748.574,"coldwater_coral"
"15","CRI","Costa Rica","8.97971910900959","2.99323973787266",33.3333337216468,11986.918,"coldwater_coral"
"16","CYP","Cyprus","0.998101946907064","0",0,24802.599,"coldwater_coral"
"17","DMA","Dominica","7.3651650429386","0",0,8089.25,"coldwater_coral"
"18","DNK","Denmark","2.99365873047323","0",0,54699.182,"coldwater_coral"
"19","DOM","Dominican Republic","20.0701086865526","17.4317996988043",86.8545356233371,7506.192,"coldwater_coral"
"20","DZA","Algeria","2.5290385636979","0",0,4426.58,"coldwater_coral"
"21","ECU","Ecuador","52.6278347129635","50.6323415510359",96.208293248599,5907.928,"coldwater_coral"
"22","ERI","Eritrea","2.74578579390164","0",0,655.424,"coldwater_coral"
"23","ESP","Spain","1469.083604719","1257.62536800926",85.6061128154658,26725.642,"coldwater_coral"
"24","FJI","Fiji","2.99323971956311","0",0,5658.236,"coldwater_coral"
"25","FRA","France","239.896192978977","178.912849174548",74.5792782089821,37081.496,"coldwater_coral"
"26","GBR","United Kingdom","352.975252551642","202.843836698487",57.4668720348348,41114.514,"coldwater_coral"
"27","GHA","Ghana","7.61553161242364","0",0,1912.48,"coldwater_coral"
"28","GIN","Guinea","0.998146567593262","0.998146567593262",100,679.964,"coldwater_coral"
"29","GNB","Guinea-Bissau","0.997746560532099","0",0,748.089,"coldwater_coral"
"30","GNQ","Equatorial Guinea","4.39760340599616","3.26008430454921",74.1332040107132,9200,"coldwater_coral"
"31","GRC","Greece","17.0600645525478","0.997746578259555",5.84843378046038,17901.38,"coldwater_coral"
"32","GRD","Grenada","14.9650777683986","0.278272351153",1.85947814945955,9572.093,"coldwater_coral"
"33","GTM","Guatemala","0.997746563836964","0",0,4172.065,"coldwater_coral"
"34","GUY","Guyana","15.4553640726882","0",0,5796.819,"coldwater_coral"
"35","HND","Honduras","12.3844405176936","0.997746580674196",8.05645260477223,2325.495,"coldwater_coral"
"36","HRV","Croatia","72.3828884378215","0.997746571876348",1.37842878808772,12817.079,"coldwater_coral"
"37","HTI","Haiti","3.99098626516811","0",0,1263.434,"coldwater_coral"
"38","IDN","Indonesia","144.255161624918","3.9909863193429",2.76661595632881,3604.99,"coldwater_coral"
